댐코드,댐이름,예측시점,예측시간,모델,학습건수,평가건수,방류변화_평가건수,최고기준선,기준선_MAE,모델_MAE,MAE_개선율(%),모델_RMSE,모델_R2,방류변화_최고기준선,방류변화_기준선_MAE,방류변화_모델_MAE,방류변화_MAE_개선율(%),변화신호_적중률,강수예보대리변수
5101110,장흥,1일뒤,24,XGBoost,17396,8760,258,현재방류량유지,1.4466328767123289,1.4532689909839196,-0.4587282909449838,7.494821202431904,0.5325635221230747,현재방류량유지,43.453534883720934,33.631904946763385,22.60260290270894,0.9747716894977169,forecast_rain_sum_24h
1012110,소양강,1일뒤,24,XGBoost,17471,8760,1208,최근3시간평균,15.20298173515982,15.518086972256125,-2.0726541844588477,34.420914927303905,0.0786373018528147,최근6시간평균,71.43425220750551,61.60312491913407,13.762483660938354,0.4678082191780822,forecast_rain_sum_24h
4001110,섬진강,1일뒤,24,XGBoost,17212,8526,983,현재방류량유지,4.067635937133475,5.0071917739541405,-23.098326677750443,17.540411021541228,0.5830049020000336,현재방류량유지,32.056298067141405,28.145616930941237,12.199415940073019,0.8519821721792166,forecast_rain_sum_24h
4104610,주암(조),1일뒤,24,XGBoost,17471,8760,691,현재방류량유지,1.5139060502283104,1.98667390162542,-31.228348108247012,4.40295856276307,0.800156750794973,최근6시간평균,11.609688374336713,11.171129889366423,3.7775215908441293,0.9035388127853882,forecast_rain_sum_24h
1003110,충주,1일뒤,24,XGBoost,17471,8760,822,현재방류량유지,21.76186643835617,28.784812683050422,-32.27180106351552,88.67868215450478,-1.3156828307781097,최근6시간평균,142.03449310624492,127.99385713178094,9.885370565557816,0.25810502283105025,forecast_rain_sum_24h
2001110,안동,1일뒤,24,XGBoost,17082,8760,2348,현재방류량유지,9.378859132420091,12.529026866804877,-33.587962991101314,20.33279928779324,0.6472495692484876,현재방류량유지,33.846320698466776,27.980455121754822,17.330881040129352,0.6753424657534246,forecast_rain_sum_24h
3203110,보령,1일뒤,24,XGBoost,17322,8687,204,현재방류량유지,0.8130349948198458,1.1609089451835746,-42.78708205429848,7.25914949010484,0.15567838211686635,현재방류량유지,24.251607843137254,23.243336092902165,4.1575459934728025,0.9641993783814896,forecast_rain_sum_24h
3303110,부안,1일뒤,24,XGBoost,17471,8760,81,현재방류량유지,0.2976785388127854,0.4479008082151413,-50.46459513053206,1.4794551027331102,-0.024860657487792315,현재방류량유지,10.693246913580246,6.939322696309031,35.10556005682235,0.9780821917808219,forecast_rain_sum_24h
2018110,남강,1일뒤,24,XGBoost,16506,8419,1638,현재방류량유지,12.502755790473929,19.23555903874062,-53.85055391865316,40.70779164737086,0.5596297749449053,최근6시간평균,61.18468243793243,55.782895196879736,8.828659438630623,0.3021736548283644,forecast_rain_sum_24h
2015110,합천,1일뒤,24,XGBoost,17241,8601,1355,현재방류량유지,5.337742820602256,8.234886916186833,-54.27657706554121,14.288710298417833,0.6436314335938107,최근6시간평균,23.193923493234934,23.827835553303945,-2.7330954172281685,0.6942216021392861,forecast_rain_sum_24h
2021110,밀양,1일뒤,24,XGBoost,17471,8760,132,현재방류량유지,0.4323166666666667,0.705423595105132,-63.17288911025065,4.475432985750048,-0.5260319813791068,현재방류량유지,23.018886363636362,16.92414266275637,26.477144048584577,0.9831050228310503,forecast_rain_sum_24h
2002110,임하,1일뒤,24,XGBoost,17097,8760,939,현재방류량유지,2.8747142694063927,4.817178788507366,-67.5706987568569,9.893417138607397,0.6359716395064103,최근3시간평균,23.91354526091587,20.29833558712473,15.117832317819538,0.7987442922374429,forecast_rain_sum_24h
3008110,대청,1일뒤,24,XGBoost,17394,8316,1601,현재방류량유지,13.868489538239539,24.317798097654507,-75.34568584850662,43.80533550135431,0.5618400840481284,최근6시간평균,56.56418842390173,51.44136928782085,9.056647463390794,0.5661375661375662,forecast_rain_sum_24h
4007110,주암(본),1일뒤,24,XGBoost,17180,8648,874,현재방류량유지,4.592931891766882,9.566687332575903,-108.29151309046819,26.469221140539734,0.4309065402638532,최근6시간평균,34.70233047292144,31.842430575931647,8.241232960482002,0.637372802960222,forecast_rain_sum_24h
1006110,횡성,1일뒤,24,XGBoost,17471,8760,176,현재방류량유지,0.8842566210045663,1.8490738577432286,-109.11054707654601,6.723000307399888,0.4490276153055892,현재방류량유지,32.821977272727274,31.867403121232986,2.908338347694462,0.9488584474885845,forecast_rain_sum_24h
3001110,용담,1일뒤,24,XGBoost,17056,8529,384,현재방류량유지,1.663683432993317,4.144336977817903,-149.10610369914954,15.730513836478329,0.40892296303596676,최근3시간평균,30.064180555555556,30.259938719749453,-0.651134208804248,0.8391370617891898,forecast_rain_sum_24h
2008101,군위,1일뒤,24,XGBoost,17471,8760,0,현재방류량유지,0.04777374429223744,0.1247202736122151,-161.06447267203293,0.3359472193126774,-0.3420923967229854,,,,,1.0,forecast_rain_sum_24h
2004101,영주,1일뒤,24,XGBoost,17389,8760,159,최근6시간평균,0.2955649162861491,1.0624157882603336,-259.4526040539139,3.089805243004606,-0.07675106949952237,최근6시간평균,6.484707547169812,6.141647264840468,5.290296899804982,0.9680365296803652,forecast_rain_sum_24h
2002111,성덕,1일뒤,24,XGBoost,17398,8760,0,현재방류량유지,0.020239954337899546,0.15793921762010818,-680.333863324806,0.34168278023710913,-3.273080917958893,,,,,1.0,forecast_rain_sum_24h
2012101,보현산,1일뒤,24,XGBoost,17471,8760,0,현재방류량유지,0.005990410958904108,0.09418273542269545,-1472.2249453136908,0.16783016760908478,-113.71081149543971,,,,,1.0,forecast_rain_sum_24h
5101110,장흥,2일뒤,48,XGBoost,17396,8760,388,현재방류량유지,2.539716095890411,2.3451491574535632,7.6609719783909025,10.25641612414418,0.12464449129818211,현재방류량유지,52.49753350515464,40.38126859865975,23.079684125169834,0.958904109589041,forecast_rain_sum_48h
4001110,섬진강,2일뒤,48,XGBoost,17212,8526,1441,현재방류량유지,6.524851747595591,6.2040730799100725,4.916259864505354,19.605045959833408,0.37713962537118095,최근6시간평균,35.37420275271802,23.745634069245522,32.87301982397046,0.8316912972085386,forecast_rain_sum_48h
1012110,소양강,2일뒤,48,XGBoost,17471,8760,1277,현재방류량유지,16.447707762557076,15.808746912833879,3.8848018152279,35.81153232321722,0.007856768554412641,최근6시간평균,77.64852127381884,67.16384469267531,13.502738248125151,0.4621004566210046,forecast_rain_sum_48h
3203110,보령,2일뒤,48,XGBoost,17322,8687,397,최근3시간평균,1.493593031733241,1.6458798587274754,-10.196005455215133,7.357784672936264,0.4309665201168862,최근6시간평균,27.110989084802686,20.971392810917617,22.646153759571522,0.933809140094394,forecast_rain_sum_48h
2021110,밀양,2일뒤,48,XGBoost,17471,8760,190,현재방류량유지,0.6980381278538812,0.8585151611751617,-22.989723185274602,4.65870341169654,-0.6535904516697257,현재방류량유지,27.26111052631579,19.51278916412153,28.42261820080523,0.979337899543379,forecast_rain_sum_48h
4104610,주암(조),2일뒤,48,XGBoost,17471,8760,928,현재방류량유지,2.0165634703196345,2.4843278481194346,-23.196114810393613,4.999043932577198,0.7424164326312341,최근6시간평균,12.868344468390804,11.210713386151811,12.881463395005627,0.8757990867579909,forecast_rain_sum_48h
2001110,안동,2일뒤,48,XGBoost,17082,8760,2643,현재방류량유지,11.259265639269405,13.975725276058625,-24.1264370503429,22.144821757372014,0.581657515703587,최근3시간평균,35.87182885609787,29.27326927069809,18.394823447308255,0.6960045662100457,forecast_rain_sum_48h
2018110,남강,2일뒤,48,XGBoost,16453,8395,2301,현재방류량유지,21.24866110780226,27.10914962775007,-27.58050726215361,49.9619201361006,0.334693611219784,최근6시간평균,74.38851781833984,55.82263148184871,24.958000079837415,0.3268612269207862,forecast_rain_sum_48h
2015110,합천,2일뒤,48,XGBoost,17241,8601,1605,현재방류량유지,6.460593884432042,10.012035583309233,-54.970824082210555,16.21713701413604,0.5407359297651753,최근6시간평균,24.97155565939772,24.569978546677493,1.6081381480496486,0.6452738053714684,forecast_rain_sum_48h
3008110,대청,2일뒤,48,XGBoost,17394,8316,1855,현재방류량유지,17.495950336700336,27.737600812182166,-58.53726307166326,54.329198883530296,0.3226856497903816,최근6시간평균,64.04113324348607,64.69323209197053,-1.018250014416765,0.597041847041847,forecast_rain_sum_48h
2002110,임하,2일뒤,48,XGBoost,17097,8760,1075,현재방류량유지,3.4565091324200914,5.533645766535911,-60.09348028719087,11.686065396359005,0.491578347887888,최근3시간평균,24.778414263565896,23.20150995310495,6.364024322491137,0.8051369863013699,forecast_rain_sum_48h
